0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:30 +0900] "GET /resources/main/kakaotalk.png HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:30 +0900] "GET /resources/main/twiiter.png HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:30 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:32 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&board_id=53 HTTP/1.1" 200 8898
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:32 +0900] "GET /resources/board/list.css HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:32 +0900] "GET /resources/main/logo.png HTTP/1.1" 200 41429
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:32 +0900] "GET /resources/main/Facebook.png HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:32 +0900] "GET /resources/main/twiiter.png HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:32 +0900] "GET /resources/main/kakaotalk.png HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:32 +0900] "GET /resources/main/instagram.png HTTP/1.1" 200 12512
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:32 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:34 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&board_id=53 HTTP/1.1" 200 8898
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:34 +0900] "GET /resources/board/list.css HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:34 +0900] "GET /resources/main/logo.png HTTP/1.1" 200 41429
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:34 +0900] "GET /resources/main/twiiter.png HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:34 +0900] "GET /resources/main/Facebook.png HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:34 +0900] "GET /resources/main/kakaotalk.png HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:34 +0900] "GET /resources/main/instagram.png HTTP/1.1" 200 12512
0:0:0:0:0:0:0:1 - - [13/May/2024:09:27:35 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:12 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&board_id=53 HTTP/1.1" 200 8898
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:12 +0900] "GET /resources/board/list.css HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:12 +0900] "GET /resources/main/instagram.png HTTP/1.1" 200 12512
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:12 +0900] "GET /resources/main/kakaotalk.png HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:12 +0900] "GET /resources/main/Facebook.png HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:12 +0900] "GET /resources/main/twiiter.png HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:12 +0900] "GET /resources/main/logo.png HTTP/1.1" 200 41429
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:12 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:39 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&board_id=53 HTTP/1.1" 200 8980
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:39 +0900] "GET /resources/board/list.css HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:39 +0900] "GET /resources/main/logo.png HTTP/1.1" 200 41429
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:39 +0900] "GET /resources/main/Facebook.png HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:39 +0900] "GET /resources/main/instagram.png HTTP/1.1" 200 12512
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:39 +0900] "GET /resources/main/kakaotalk.png HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:39 +0900] "GET /resources/main/twiiter.png HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [13/May/2024:09:28:39 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2024:09:29:08 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&board_id=53 HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [13/May/2024:09:29:08 +0900] "GET /resources/board/list.css HTTP/1.1" 200 3081
